Period,Number,BigSmall,Color
20260527100005177,9,Big,Green
20260527100005176,8,Big,Red
20260527100005175,9,Big,Green
20260527100005174,4,Small,Red
20260527100005173,0,Small,Red Violet
20260527100005172,3,Small,Green
20260527100005171,0,Small,Red Violet
20260527100005170,2,Small,Red
20260527100005169,2,Small,Red
20260527100005168,6,Big,Red
20260527100005167,7,Big,Green
20260527100005166,3,Small,Green
20260527100005165,6,Big,Red
20260527100005164,5,Big,Green Violet
20260527100005163,7,Big,Green
20260527100005162,6,Big,Red
20260527100005161,1,Small,Green
20260527100005160,3,Small,Green
20260527100005159,4,Small,Red
20260527100005158,1,Small,Green
20260527100005157,7,Big,Green
20260527100005156,6,Big,Red
20260527100005155,8,Big,Red
20260527100005154,7,Big,Green
20260527100005153,1,Small,Green
20260527100005152,2,Small,Red
20260527100005151,5,Big,Green Violet
20260527100005150,7,Big,Green
20260527100005149,9,Big,Green
20260527100005148,9,Big,Green
20260527100005147,0,Small,Red Violet
20260527100005146,9,Big,Green
20260527100005145,6,Big,Red
20260527100005144,3,Small,Green
20260527100005143,0,Small,Red Violet
20260527100005142,2,Small,Red
20260527100005141,1,Small,Green
20260527100005140,8,Big,Red
20260527100005139,2,Small,Red
20260527100005138,1,Small,Green
20260527100005137,5,Big,Green Violet
20260527100005136,5,Big,Green Violet
20260527100005135,8,Big,Red
20260527100005134,1,Small,Green
20260527100005133,3,Small,Green
20260527100005132,0,Small,Red Violet
20260527100005131,1,Small,Green
20260527100005130,8,Big,Red
20260527100005129,0,Small,Red Violet
20260527100005128,3,Small,Green
20260527100005127,3,Small,Green
20260527100005126,3,Small,Green
20260527100005125,8,Big,Red
20260527100005124,5,Big,Green Violet
20260527100005123,8,Big,Red
20260527100005122,0,Small,Red Violet
20260527100005121,2,Small,Red
20260527100005120,1,Small,Green
20260527100005119,4,Small,Red
20260527100005118,7,Big,Green
20260527100005117,5,Big,Green Violet
20260527100005116,7,Big,Green
20260527100005115,7,Big,Green
20260527100005114,9,Big,Green
20260527100005113,5,Big,Green Violet
20260527100005112,5,Big,Green Violet
20260527100005111,3,Small,Green
20260527100005110,5,Big,Green Violet
20260527100005109,1,Small,Green
20260527100005108,6,Big,Red
20260527100005107,6,Big,Red
20260527100005106,2,Small,Red
20260527100005105,3,Small,Green
20260527100005104,8,Big,Red
20260527100005103,4,Small,Red
20260527100005102,6,Big,Red
20260527100005101,5,Big,Green Violet
20260527100005100,8,Big,Red
20260527100005099,8,Big,Red
20260527100005098,3,Small,Green
20260527100005097,8,Big,Red
20260527100005096,8,Big,Red
20260527100005095,5,Big,Green Violet
20260527100005094,6,Big,Red
20260527100005093,8,Big,Red
20260527100005092,0,Small,Red Violet
20260527100005091,7,Big,Green
20260527100005090,6,Big,Red
20260527100005089,6,Big,Red
20260527100005088,4,Small,Red
20260527100005087,1,Small,Green
20260527100005086,0,Small,Red Violet
20260527100005085,8,Big,Red
20260527100005084,0,Small,Red Violet
20260527100005083,8,Big,Red
20260527100005082,6,Big,Red
20260527100005081,1,Small,Green
20260527100005080,2,Small,Red
20260527100005079,3,Small,Green
20260527100005078,6,Big,Red
20260527100005077,8,Big,Red
20260527100005076,2,Small,Red
20260527100005075,6,Big,Red
20260527100005074,3,Small,Green
20260527100005073,3,Small,Green
20260527100005072,6,Big,Red
20260527100005071,2,Small,Red
20260527100005070,6,Big,Red
20260527100005069,3,Small,Green
20260527100005068,5,Big,Green Violet
20260527100005067,5,Big,Green Violet
20260527100005066,6,Big,Red
20260527100005065,7,Big,Green
20260527100005064,7,Big,Green
20260527100005063,5,Big,Green Violet
20260527100005062,5,Big,Green Violet
20260527100005061,4,Small,Red
20260527100005060,4,Small,Red
20260527100005059,7,Big,Green
20260527100005058,7,Big,Green
20260527100005057,3,Small,Green
20260527100005056,6,Big,Red
20260527100005055,5,Big,Green Violet
20260527100005054,0,Small,Red Violet
20260527100005053,1,Small,Green
20260527100005052,2,Small,Red
20260527100005051,6,Big,Red
20260527100005050,9,Big,Green
20260527100005049,4,Small,Red
20260527100005048,7,Big,Green
20260527100005047,6,Big,Red
20260527100005046,0,Small,Red Violet
20260527100005045,3,Small,Green
20260527100005044,5,Big,Green Violet
20260527100005043,7,Big,Green
20260527100005042,7,Big,Green
20260527100005041,2,Small,Red
20260527100005040,7,Big,Green
20260527100005039,6,Big,Red
20260527100005038,8,Big,Red
20260527100005037,7,Big,Green
20260527100005036,8,Big,Red
20260527100005035,7,Big,Green
20260527100005034,7,Big,Green
20260527100005033,9,Big,Green
20260527100005032,8,Big,Red
20260527100005031,5,Big,Green Violet
20260527100005030,0,Small,Red Violet
20260527100005029,4,Small,Red
20260527100005028,9,Big,Green
20260527100005027,0,Small,Red Violet
20260527100005026,0,Small,Red Violet
20260527100005025,1,Small,Green
20260527100005024,8,Big,Red
20260527100005023,5,Big,Green Violet
20260527100005022,5,Big,Green Violet
20260527100005021,2,Small,Red
20260527100005020,1,Small,Green
20260527100005019,8,Big,Red
20260527100005018,1,Small,Green
20260527100005017,6,Big,Red
20260527100005016,1,Small,Green
20260527100005015,3,Small,Green
20260527100005014,8,Big,Red
20260527100005013,9,Big,Green
20260527100005012,9,Big,Green
20260527100005011,6,Big,Red
20260527100005010,2,Small,Red
20260527100005009,2,Small,Red
20260527100005008,4,Small,Red
20260527100005007,0,Small,Red Violet
20260527100005006,8,Big,Red
20260527100005005,3,Small,Green
20260527100005004,4,Small,Red
20260527100005003,7,Big,Green
20260527100005002,8,Big,Red
20260527100005001,8,Big,Red
20260527100005000,8,Big,Red
20260527100004999,1,Small,Green
20260527100004998,9,Big,Green
20260527100004997,2,Small,Red
20260527100004996,1,Small,Green
20260527100004995,8,Big,Red
20260527100004994,1,Small,Green
20260527100004993,2,Small,Red
20260527100004992,3,Small,Green
20260527100004991,3,Small,Green
20260527100004990,9,Big,Green
20260527100004989,1,Small,Green
20260527100004988,8,Big,Red
20260527100004987,0,Small,Red Violet
20260527100004986,3,Small,Green
20260527100004985,1,Small,Green
20260527100004984,1,Small,Green
20260527100004983,4,Small,Red
20260527100004982,5,Big,Green Violet
20260527100004981,0,Small,Red Violet
20260527100004980,0,Small,Red Violet
20260527100004979,6,Big,Red
20260527100004978,4,Small,Red
20260527100004977,9,Big,Green
20260527100004976,7,Big,Green
20260527100004975,7,Big,Green
20260527100004974,8,Big,Red
20260527100004973,9,Big,Green
20260527100004972,1,Small,Green
20260527100004971,8,Big,Red
20260527100004970,0,Small,Red Violet
20260527100004969,6,Big,Red
20260527100004968,8,Big,Red
20260527100004967,6,Big,Red
20260527100004966,0,Small,Red Violet
20260527100004965,6,Big,Red
20260527100004964,4,Small,Red
20260527100004963,1,Small,Green
20260527100004962,6,Big,Red
20260527100004961,1,Small,Green
20260527100004960,1,Small,Green
20260527100004959,5,Big,Green Violet
20260527100004958,3,Small,Green
20260527100004957,0,Small,Red Violet
20260527100004956,4,Small,Red
20260527100004955,8,Big,Red
20260527100004954,6,Big,Red
20260527100004953,0,Small,Red Violet
20260527100004952,6,Big,Red
20260527100004951,8,Big,Red
20260527100004950,5,Big,Green Violet
20260527100004949,8,Big,Red
20260527100004948,8,Big,Red
20260527100004947,3,Small,Green
20260527100004946,2,Small,Red
20260527100004945,0,Small,Red Violet
20260527100004944,9,Big,Green
20260527100004943,7,Big,Green
20260527100004942,7,Big,Green
20260527100004941,3,Small,Green
20260527100004940,9,Big,Green
20260527100004939,9,Big,Green
20260527100004938,2,Small,Red
20260527100004937,2,Small,Red
20260527100004936,3,Small,Green
20260527100004935,3,Small,Green
20260527100004934,1,Small,Green
20260527100004933,6,Big,Red
20260527100004932,7,Big,Green
20260527100004931,7,Big,Green
20260527100004930,1,Small,Green
20260527100004929,6,Big,Red
20260527100004928,0,Small,Red Violet
20260527100004927,6,Big,Red
20260527100004926,1,Small,Green
20260527100004925,5,Big,Green Violet
20260527100004924,1,Small,Green
20260527100004923,2,Small,Red
20260527100004922,1,Small,Green
20260527100004921,3,Small,Green
20260527100004920,0,Small,Red Violet
20260527100004919,7,Big,Green
20260527100004918,6,Big,Red
20260527100004917,9,Big,Green
20260527100004916,1,Small,Green
20260527100004915,8,Big,Red
20260527100004914,0,Small,Red Violet
20260527100004913,8,Big,Red
20260527100004912,4,Small,Red
20260527100004911,7,Big,Green
20260527100004910,1,Small,Green
20260527100004909,7,Big,Green
20260527100004908,1,Small,Green
20260527100004907,4,Small,Red
20260527100004906,8,Big,Red
20260527100004905,7,Big,Green
20260527100004904,3,Small,Green
20260527100004903,9,Big,Green
20260527100004902,9,Big,Green
20260527100004901,5,Big,Green Violet
20260527100004900,3,Small,Green
20260527100004899,8,Big,Red
20260527100004898,5,Big,Green Violet
20260527100004897,2,Small,Red
20260527100004896,4,Small,Red
20260527100004895,6,Big,Red
20260527100004894,9,Big,Green
20260527100004893,9,Big,Green
20260527100004892,0,Small,Red Violet
20260527100004891,9,Big,Green
20260527100004890,1,Small,Green
20260527100004889,3,Small,Green
20260527100004888,9,Big,Green
20260527100004887,9,Big,Green
20260527100004886,5,Big,Green Violet
20260527100004885,0,Small,Red Violet
20260527100004884,5,Big,Green Violet
20260527100004883,3,Small,Green
20260527100004882,9,Big,Green
20260527100004881,6,Big,Red
20260527100004880,5,Big,Green Violet
20260527100004879,5,Big,Green Violet
20260527100004878,9,Big,Green
20260527100004877,1,Small,Green
20260527100004876,8,Big,Red
20260527100004875,6,Big,Red
20260527100004874,9,Big,Green
20260527100004873,8,Big,Red
20260527100004872,6,Big,Red
20260527100004871,3,Small,Green
20260527100004870,6,Big,Red
20260527100004869,3,Small,Green
20260527100004868,6,Big,Red
20260527100004867,2,Small,Red
20260527100004866,1,Small,Green
20260527100004865,5,Big,Green Violet
20260527100004864,4,Small,Red
20260527100004863,5,Big,Green Violet
20260527100004862,4,Small,Red
20260527100004861,3,Small,Green
20260527100004860,3,Small,Green
20260527100004859,6,Big,Red
20260527100004858,4,Small,Red
20260527100004857,9,Big,Green
20260527100004856,9,Big,Green
20260527100004855,1,Small,Green
20260527100004854,3,Small,Green
20260527100004853,7,Big,Green
20260527100004852,3,Small,Green
20260527100004851,6,Big,Red
20260527100004850,7,Big,Green
20260527100004849,9,Big,Green
20260527100004848,4,Small,Red
20260527100004847,6,Big,Red
20260527100004846,8,Big,Red
20260527100004845,5,Big,Green Violet
20260527100004844,5,Big,Green Violet
20260527100004843,7,Big,Green
20260527100004842,6,Big,Red
20260527100004841,1,Small,Green
20260527100004840,4,Small,Red
20260527100004839,1,Small,Green
20260527100004838,1,Small,Green
20260527100004837,3,Small,Green
20260527100004836,8,Big,Red
20260527100004835,4,Small,Red
20260527100004834,9,Big,Green
20260527100004833,3,Small,Green
20260527100004832,4,Small,Red
20260527100004831,4,Small,Red
20260527100004830,7,Big,Green
20260527100004829,3,Small,Green
20260527100004828,1,Small,Green
20260527100004827,6,Big,Red
20260527100004826,2,Small,Red
20260527100004825,4,Small,Red
20260527100004824,9,Big,Green
20260527100004823,2,Small,Red
20260527100004822,6,Big,Red
20260527100004821,0,Small,Red Violet
20260527100004820,5,Big,Green Violet
20260527100004819,8,Big,Red
20260527100004818,8,Big,Red
20260527100004817,8,Big,Red
20260527100004816,5,Big,Green Violet
20260527100004815,6,Big,Red
20260527100004814,3,Small,Green
20260527100004813,0,Small,Red Violet
20260527100004812,2,Small,Red
20260527100004811,5,Big,Green Violet
20260527100004810,8,Big,Red
20260527100004809,0,Small,Red Violet
20260527100004808,9,Big,Green
20260527100004807,3,Small,Green
20260527100004806,1,Small,Green
20260527100004805,5,Big,Green Violet
20260527100004804,3,Small,Green
20260527100004803,2,Small,Red
20260527100004802,6,Big,Red
20260527100004801,3,Small,Green
20260527100004800,0,Small,Red Violet
20260527100004799,9,Big,Green
20260527100004798,2,Small,Red
20260527100004797,2,Small,Red
20260527100004796,7,Big,Green
20260527100004795,1,Small,Green
20260527100004794,2,Small,Red
20260527100004793,1,Small,Green
20260527100004792,9,Big,Green
20260527100004791,5,Big,Green Violet
20260527100004790,0,Small,Red Violet
20260527100004789,1,Small,Green
20260527100004788,0,Small,Red Violet
20260527100004787,3,Small,Green
20260527100004786,5,Big,Green Violet
20260527100004785,8,Big,Red
20260527100004784,7,Big,Green
20260527100004783,0,Small,Red Violet
20260527100004782,0,Small,Red Violet
20260527100004781,8,Big,Red
20260527100004780,9,Big,Green
20260527100004779,7,Big,Green
20260527100004778,1,Small,Green
20260527100004777,2,Small,Red
20260527100004776,7,Big,Green
20260527100004775,7,Big,Green
20260527100004774,4,Small,Red
20260527100004773,1,Small,Green
20260527100004772,7,Big,Green
20260527100004771,3,Small,Green
20260527100004770,6,Big,Red
20260527100004769,2,Small,Red
20260527100004768,6,Big,Red
20260527100004767,9,Big,Green
20260527100004766,8,Big,Red
20260527100004765,1,Small,Green
20260527100004764,3,Small,Green
20260527100004763,3,Small,Green
20260527100004762,1,Small,Green
20260527100004761,7,Big,Green
20260527100004760,5,Big,Green Violet
20260527100004759,7,Big,Green
20260527100004758,7,Big,Green
20260527100004757,5,Big,Green Violet
20260527100004756,6,Big,Red
20260527100004755,6,Big,Red
20260527100004754,2,Small,Red
20260527100004753,7,Big,Green
20260527100004752,9,Big,Green
20260527100004751,4,Small,Red
20260527100004750,2,Small,Red
20260527100004749,4,Small,Red
20260527100004748,0,Small,Red Violet
20260527100004747,2,Small,Red
20260527100004746,7,Big,Green
20260527100004745,3,Small,Green
20260527100004744,7,Big,Green
20260527100004743,2,Small,Red
20260527100004742,5,Big,Green Violet
20260527100004741,9,Big,Green
20260527100004740,7,Big,Green
20260527100004739,9,Big,Green
20260527100004738,5,Big,Green Violet
20260527100004737,2,Small,Red
20260527100004736,2,Small,Red
20260527100004735,9,Big,Green
20260527100004734,5,Big,Green Violet
20260527100004733,2,Small,Red
20260527100004732,3,Small,Green
20260527100004731,8,Big,Red
20260527100004730,0,Small,Red Violet
20260527100004729,6,Big,Red
20260527100004728,9,Big,Green
20260527100004727,3,Small,Green
20260527100004726,5,Big,Green Violet
20260527100004725,2,Small,Red
20260527100004724,7,Big,Green
20260527100004723,1,Small,Green
20260527100004722,8,Big,Red
20260527100004721,7,Big,Green
20260527100004720,6,Big,Red
20260527100004719,3,Small,Green
20260527100004718,5,Big,Green Violet
20260527100004717,9,Big,Green
20260527100004716,9,Big,Green
20260527100004715,1,Small,Green
20260527100004714,5,Big,Green Violet
20260527100004713,3,Small,Green
20260527100004712,4,Small,Red
20260527100004711,1,Small,Green
20260527100004710,9,Big,Green
20260527100004709,0,Small,Red Violet
20260527100004708,9,Big,Green
20260527100004707,1,Small,Green
20260527100004706,7,Big,Green
20260527100004705,2,Small,Red
20260527100004704,3,Small,Green
20260527100004703,0,Small,Red Violet
20260527100004702,1,Small,Green
20260527100004701,3,Small,Green
20260527100004700,3,Small,Green
20260527100004699,8,Big,Red
20260527100004698,3,Small,Green
20260527100004697,1,Small,Green
20260527100004696,1,Small,Green
20260527100004695,2,Small,Red
20260527100004694,8,Big,Red
20260527100004693,8,Big,Red
20260527100004692,4,Small,Red
20260527100004691,3,Small,Green
20260527100004690,8,Big,Red
20260527100004689,9,Big,Green
20260527100004688,4,Small,Red
20260527100004687,9,Big,Green
20260527100004686,5,Big,Green Violet
20260527100004685,7,Big,Green
20260527100004684,7,Big,Green
20260527100004683,4,Small,Red
20260527100004682,6,Big,Red
20260527100004681,0,Small,Red Violet
20260527100004680,1,Small,Green
20260527100004679,1,Small,Green
20260527100004678,5,Big,Green Violet
20260527100004677,7,Big,Green
20260527100004676,2,Small,Red
20260527100004675,0,Small,Red Violet
20260527100004674,1,Small,Green
20260527100004673,2,Small,Red
20260527100004672,8,Big,Red
20260527100004671,3,Small,Green
20260527100004670,6,Big,Red
20260527100004669,0,Small,Red Violet
20260527100004668,0,Small,Red Violet
20260527100004667,7,Big,Green
20260527100004666,0,Small,Red Violet
20260527100004665,0,Small,Red Violet
20260527100004664,7,Big,Green
20260527100004663,5,Big,Green Violet
20260527100004662,3,Small,Green
20260527100004661,4,Small,Red
20260527100004660,7,Big,Green
20260527100004659,6,Big,Red
20260527100004658,0,Small,Red Violet
20260527100004657,0,Small,Red Violet
20260527100004656,1,Small,Green
20260527100004655,2,Small,Red
20260527100004654,4,Small,Red
20260527100004653,1,Small,Green
20260527100004652,6,Big,Red
20260527100004651,8,Big,Red
20260527100004650,6,Big,Red
20260527100004649,0,Small,Red Violet
20260527100004648,5,Big,Green Violet
20260527100004647,6,Big,Red
20260527100004646,9,Big,Green
20260527100004645,2,Small,Red
20260527100004644,9,Big,Green
20260527100004643,4,Small,Red
20260527100004642,2,Small,Red
20260527100004641,3,Small,Green
20260527100004640,7,Big,Green
20260527100004639,5,Big,Green Violet
20260527100004638,6,Big,Red
20260527100004637,9,Big,Green
20260527100004636,1,Small,Green
20260527100004635,4,Small,Red
20260527100004634,3,Small,Green
20260527100004633,4,Small,Red
20260527100004632,3,Small,Green
20260527100004631,3,Small,Green
20260527100004630,0,Small,Red Violet
20260527100004629,6,Big,Red
20260527100004628,4,Small,Red
20260527100004627,5,Big,Green Violet
20260527100004626,6,Big,Red
20260527100004625,4,Small,Red
20260527100004624,8,Big,Red
20260527100004623,1,Small,Green
20260527100004622,0,Small,Red Violet
20260527100004621,7,Big,Green
20260527100004620,0,Small,Red Violet
20260527100004619,4,Small,Red
20260527100004618,7,Big,Green
20260527100004617,7,Big,Green
20260527100004616,3,Small,Green
20260527100004615,8,Big,Red
20260527100004614,0,Small,Red Violet
20260527100004613,5,Big,Green Violet
20260527100004612,6,Big,Red
20260527100004611,8,Big,Red
20260527100004610,5,Big,Green Violet
20260527100004609,4,Small,Red
20260527100004608,2,Small,Red
20260527100004607,7,Big,Green
20260527100004606,9,Big,Green
20260527100004605,5,Big,Green Violet
20260527100004604,1,Small,Green
20260527100004603,7,Big,Green
20260527100004602,4,Small,Red
20260527100004601,7,Big,Green
20260527100004600,8,Big,Red
20260527100004599,3,Small,Green
20260527100004598,6,Big,Red
20260527100004597,0,Small,Red Violet
20260527100004596,9,Big,Green
20260527100004595,0,Small,Red Violet
20260527100004594,2,Small,Red
20260527100004593,9,Big,Green
20260527100004592,7,Big,Green
20260527100004591,7,Big,Green
20260527100004590,5,Big,Green Violet
20260527100004589,4,Small,Red
20260527100004588,9,Big,Green
20260527100004587,2,Small,Red
20260527100004586,5,Big,Green Violet
20260527100004585,6,Big,Red
20260527100004584,5,Big,Green Violet
20260527100004583,8,Big,Red
20260527100004582,5,Big,Green Violet
20260527100004581,4,Small,Red
20260527100004580,1,Small,Green
20260527100004579,9,Big,Green
20260527100004578,3,Small,Green
20260527100004577,1,Small,Green
20260527100004576,0,Small,Red Violet
20260527100004575,3,Small,Green
20260527100004574,5,Big,Green Violet
20260527100004573,8,Big,Red
20260527100004572,9,Big,Green
20260527100004571,8,Big,Red
20260527100004570,0,Small,Red Violet
20260527100004569,5,Big,Green Violet
20260527100004568,4,Small,Red
20260527100004567,4,Small,Red
20260527100004566,7,Big,Green
20260527100004565,5,Big,Green Violet
20260527100004564,5,Big,Green Violet
20260527100004563,1,Small,Green
20260527100004562,4,Small,Red
20260527100004561,3,Small,Green
20260527100004560,9,Big,Green
20260527100004559,2,Small,Red
20260527100004558,2,Small,Red
20260527100004557,1,Small,Green
20260527100004556,0,Small,Red Violet
20260527100004555,0,Small,Red Violet
20260527100004554,0,Small,Red Violet
20260527100004553,1,Small,Green
20260527100004552,5,Big,Green Violet
20260527100004551,3,Small,Green
20260527100004550,0,Small,Red Violet
20260527100004549,3,Small,Green
20260527100004548,2,Small,Red
20260527100004547,9,Big,Green
20260527100004546,4,Small,Red
20260527100004545,3,Small,Green
20260527100004544,9,Big,Green
20260527100004543,3,Small,Green
20260527100004542,3,Small,Green
20260527100004541,2,Small,Red
20260527100004540,3,Small,Green
20260527100004539,7,Big,Green
20260527100004538,3,Small,Green
20260527100004537,6,Big,Red
20260527100004536,0,Small,Red Violet
20260527100004535,7,Big,Green
20260527100004534,8,Big,Red
20260527100004533,1,Small,Green
20260527100004532,6,Big,Red
20260527100004531,3,Small,Green
20260527100004530,1,Small,Green
20260527100004529,0,Small,Red Violet
20260527100004528,3,Small,Green
20260527100004527,2,Small,Red
20260527100004526,2,Small,Red
20260527100004525,8,Big,Red
20260527100004524,7,Big,Green
20260527100004523,6,Big,Red
20260527100004522,2,Small,Red
20260527100004521,3,Small,Green
20260527100004520,9,Big,Green
20260527100004519,5,Big,Green Violet
20260527100004518,5,Big,Green Violet
20260527100004517,2,Small,Red
20260527100004516,0,Small,Red Violet
20260527100004515,9,Big,Green
20260527100004514,2,Small,Red
20260527100004513,4,Small,Red
20260527100004512,7,Big,Green
20260527100004511,7,Big,Green
20260527100004510,6,Big,Red
20260527100004509,2,Small,Red
20260527100004508,1,Small,Green
20260527100004507,4,Small,Red
20260527100004506,6,Big,Red
20260527100004505,1,Small,Green
20260527100004504,0,Small,Red Violet
20260527100004503,8,Big,Red
20260527100004502,6,Big,Red
20260527100004501,7,Big,Green
20260527100004500,5,Big,Green Violet
20260527100004499,1,Small,Green
20260527100004498,5,Big,Green Violet
20260527100004497,1,Small,Green
20260527100004496,6,Big,Red
20260527100004495,3,Small,Green
20260527100004494,5,Big,Green Violet
20260527100004493,7,Big,Green
20260527100004492,7,Big,Green
20260527100004491,5,Big,Green Violet
20260527100004490,0,Small,Red Violet
20260527100004489,8,Big,Red
20260527100004488,0,Small,Red Violet
20260527100004487,0,Small,Red Violet
20260527100004486,6,Big,Red
20260527100004485,9,Big,Green
20260527100004484,8,Big,Red
20260527100004483,8,Big,Red
20260527100004482,5,Big,Green Violet
20260527100004481,3,Small,Green
20260527100004480,7,Big,Green
20260527100004479,5,Big,Green Violet
20260527100004478,4,Small,Red
20260527100004477,7,Big,Green
20260527100004476,6,Big,Red
20260527100004475,7,Big,Green
20260527100004474,3,Small,Green
20260527100004473,0,Small,Red Violet
20260527100004472,6,Big,Red
20260527100004471,8,Big,Red
20260527100004470,0,Small,Red Violet
20260527100004469,2,Small,Red
20260527100004468,9,Big,Green
20260527100004467,5,Big,Green Violet
20260527100004466,0,Small,Red Violet
20260527100004465,3,Small,Green
20260527100004464,1,Small,Green
20260527100004463,7,Big,Green
20260527100004462,2,Small,Red
20260527100004461,8,Big,Red
20260527100004460,3,Small,Green
20260527100004459,6,Big,Red
20260527100004458,9,Big,Green
20260527100004457,5,Big,Green Violet
20260527100004456,5,Big,Green Violet
20260527100004455,2,Small,Red
20260527100004454,7,Big,Green
20260527100004453,9,Big,Green
20260527100004452,1,Small,Green
20260527100004451,3,Small,Green
20260527100004450,1,Small,Green
20260527100004449,7,Big,Green
20260527100004448,4,Small,Red
20260527100004447,2,Small,Red
20260527100004446,5,Big,Green Violet
20260527100004445,6,Big,Red
20260527100004444,6,Big,Red
20260527100004443,9,Big,Green
20260527100004442,5,Big,Green Violet
20260527100004441,4,Small,Red
20260527100004440,5,Big,Green Violet
20260527100004439,9,Big,Green
20260527100004438,4,Small,Red
20260527100004437,7,Big,Green
20260527100004436,7,Big,Green
20260527100004435,6,Big,Red
20260527100004434,9,Big,Green
20260527100004433,6,Big,Red
20260527100004432,7,Big,Green
20260527100004431,6,Big,Red
20260527100004430,4,Small,Red
20260527100004429,1,Small,Green
20260527100004428,4,Small,Red
20260527100004427,5,Big,Green Violet
20260527100004426,3,Small,Green
20260527100004425,9,Big,Green
20260527100004424,3,Small,Green
20260527100004423,0,Small,Red Violet
20260527100004422,9,Big,Green
20260527100004421,0,Small,Red Violet
20260527100004420,0,Small,Red Violet
20260527100004419,4,Small,Red
20260527100004418,2,Small,Red
20260527100004417,4,Small,Red
20260527100004416,4,Small,Red
20260527100004415,7,Big,Green
20260527100004414,4,Small,Red
20260527100004413,9,Big,Green
20260527100004412,5,Big,Green Violet
20260527100004411,8,Big,Red
20260527100004410,5,Big,Green Violet
20260527100004409,5,Big,Green Violet
20260527100004408,0,Small,Red Violet
20260527100004407,9,Big,Green
20260527100004406,8,Big,Red
20260527100004405,9,Big,Green
20260527100004404,5,Big,Green Violet
20260527100004403,2,Small,Red
20260527100004402,3,Small,Green
20260527100004401,4,Small,Red
20260527100004400,3,Small,Green
20260527100004399,7,Big,Green
20260527100004398,2,Small,Red
20260527100004397,6,Big,Red
20260527100004396,8,Big,Red
20260527100004395,8,Big,Red
20260527100004394,7,Big,Green
20260527100004393,3,Small,Green
20260527100004392,2,Small,Red
20260527100004391,3,Small,Green
20260527100004390,4,Small,Red
20260527100004389,6,Big,Red
20260527100004388,6,Big,Red
20260527100004387,7,Big,Green
20260527100004386,8,Big,Red
20260527100004385,9,Big,Green
20260527100004384,4,Small,Red
20260527100004383,2,Small,Red
20260527100004382,1,Small,Green
20260527100004381,9,Big,Green
20260527100004380,7,Big,Green
20260527100004379,7,Big,Green
20260527100004378,6,Big,Red
20260527100004377,9,Big,Green
20260527100004376,7,Big,Green
20260527100004375,9,Big,Green
20260527100004374,6,Big,Red
20260527100004373,3,Small,Green
20260527100004372,7,Big,Green
20260527100004371,9,Big,Green
20260527100004370,7,Big,Green
20260527100004369,1,Small,Green
20260527100004368,2,Small,Red
20260527100004367,6,Big,Red
20260527100004366,6,Big,Red
20260527100004365,8,Big,Red
20260527100004364,4,Small,Red
20260527100004363,3,Small,Green
20260527100004362,6,Big,Red
20260527100004361,6,Big,Red
20260527100004360,5,Big,Green Violet
20260527100004359,7,Big,Green
20260527100004358,4,Small,Red
20260527100004357,2,Small,Red
20260527100004356,9,Big,Green
20260527100004355,8,Big,Red
20260527100004354,8,Big,Red
20260527100004353,0,Small,Red Violet
20260527100004352,5,Big,Green Violet
20260527100004351,5,Big,Green Violet
20260527100004350,9,Big,Green
20260527100004349,0,Small,Red Violet
20260527100004348,7,Big,Green
20260527100004347,3,Small,Green
20260527100004346,7,Big,Green
20260527100004345,4,Small,Red
20260527100004344,2,Small,Red
20260527100004343,5,Big,Green Violet
20260527100004342,0,Small,Red Violet
20260527100004341,8,Big,Red
20260527100004340,0,Small,Red Violet
20260527100004339,9,Big,Green
20260527100004338,1,Small,Green
20260527100004337,7,Big,Green
20260527100004336,4,Small,Red
20260527100004335,7,Big,Green
20260527100004334,1,Small,Green
20260527100004333,3,Small,Green
20260527100004332,5,Big,Green Violet
20260527100004331,6,Big,Red
20260527100004330,7,Big,Green
20260527100004329,6,Big,Red
20260527100004328,4,Small,Red
20260527100004327,5,Big,Green Violet
20260527100004326,7,Big,Green
20260527100004325,0,Small,Red Violet
20260527100004324,7,Big,Green
20260527100004323,1,Small,Green
20260527100004322,0,Small,Red Violet
20260527100004321,2,Small,Red
20260527100004320,8,Big,Red
20260527100004319,5,Big,Green Violet
20260527100004318,1,Small,Green
20260527100004317,1,Small,Green
20260527100004316,6,Big,Red
20260527100004315,3,Small,Green
20260527100004314,5,Big,Green Violet
20260527100004313,6,Big,Red
20260527100004312,7,Big,Green
20260527100004311,7,Big,Green
20260527100004310,9,Big,Green
20260527100004309,7,Big,Green
20260527100004308,0,Small,Red Violet
20260527100004307,5,Big,Green Violet
20260527100004306,0,Small,Red Violet
20260527100004305,9,Big,Green
20260527100004304,1,Small,Green
20260527100004303,9,Big,Green
20260527100004302,3,Small,Green
20260527100004301,0,Small,Red Violet
20260527100004300,3,Small,Green
20260527100004299,3,Small,Green
20260527100004298,7,Big,Green
20260527100004297,7,Big,Green
20260527100004296,8,Big,Red
20260527100004295,9,Big,Green
20260527100004294,0,Small,Red Violet
20260527100004293,6,Big,Red
20260527100004292,0,Small,Red Violet
20260527100004291,9,Big,Green
20260527100004290,6,Big,Red
20260527100004289,6,Big,Red
20260527100004288,2,Small,Red
20260527100004287,9,Big,Green
20260527100004286,5,Big,Green Violet
20260527100004285,3,Small,Green
20260527100004284,3,Small,Green
20260527100004283,2,Small,Red
